的	dk
扃	jaiai
扌	soeee
拶	zoaa
挢	joueu
捃	joaee
掊	pooe
掎	joeuo
掭	toeeuo
揎	xoo
揞	rooe
揠	koeia
揲	doeii
揸	voeiu
搋	couui
搌	voaeu
搛	joou
搠	sooue
搦	noaea
摅	soie
撄	koiau
撖	hoaei
撙	zoou
擐	hoiai
擗	poae
攉	hoeo
攮	noei
攴	proo
攵	puo
旰	gmee
昃	zmeu
昝	zmua
晡	bmei
暾	tmoe
杌	wkeua
杩	mkaa
枘	rkia
枧	jkiau
枨	ckuea
柁	dkooa
柃	lkuooa
柒	qkooe
柙	xkiaee
柝	tkuu
柰	nkee
柽	ckaoe
栊	lkeuau
栝	gkueii
栲	kkeieu
栳	lkeieu
桄	gkio
桊	jkoue
桕	jkuie
桫	skoo
桴	fkuo
桷	jkuau
梃	tkue
棰	ckueie
棹	vkiei
棼	fkeiu
椐	jkaeue
椟	dkeiao
椠	qkea
椹	skeii
楗	jkaeee
楱	zkee
榀	pkia
榍	xkae
槠	vkoae
樨	xkaeu
橼	yka
檎	qkuooe
檑	lkeoa
檗	bkae
檫	ckoo
欷	xkuoe
歃	skuei
殂	cqia
殪	kqei
毪	mva
毳	cvue
毵	svao
毹	svuo
毽	jvae
氆	pv
氇	lvu
氍	qvi
氕	piuu
氵	seee
氽	tlia
汆	ceuo
汔	qeue
沔	meeia
沩	weou
沭	seeiuo
沲	teue
泐	leai
泖	meuau
泺	leuai
洇	keiaeu
洎	jeui
洚	jeuao
洧	weeu
洫	xeuiai
浈	veiei
浍	heuo
淠	peia
渫	xeeiie
溱	qeeee
溷	heiaeu
溻	teiae
溽	reeue
滏	feuou
滗	beue
滠	seeii
滹	heie
漤	leeiu
漭	meeiie
漶	heiaei
潋	leuoe
潲	seue
澉	geae
澌	seeiie
瀵	feoue
瀹	yeuoei
灬	buoo
烀	huuou
燠	yuu
爝	juuo
爨	cuui
爿	pyuu
牮	jkuiea
牾	wkeia
牿	gkueie
犋	jkiaee
犏	pko
犭	qfuu
犰	qfua
犴	rfeei
狁	yfao
狃	nfai
狨	rfeeu
狳	yfuo
狴	bfea
狺	kfoee
猁	lfue
猃	xfuoe
猞	sfuoe
猱	nfao
猸	mfai
猹	cfeiu
獒	rfeeie
玟	wioe
珉	miae
珙	gieii
珧	kiuoe
琚	jiaeu
瑗	yiuoo
璁	ciuia
璺	wiui
瓞	ddue
甍	miiaii
甏	bweie
畎	qreu
疋	pao
疒	naee
疔	daeiii
疬	laeua
疰	vaoe
痃	xaoe
痄	vauei
痖	kaei
痦	wae
瘃	vaeu
瘅	daou
瘊	haui
瘌	laeia
瘐	yau
瘕	jaaei
瘗	kaeo
瘥	caoue
瘭	baei
瘰	lai
瘳	caa
瘵	vaua
瘼	mae
癀	haei
癃	laai
癍	baee
皲	jgoa
眄	mteia
眍	kteu
眙	ktaoi
眚	stue
眢	ytua
眭	ste
眵	ctuao
睚	kteue
瞀	mtaoai
瞍	stuie
瞢	miiaii
瞵	ltou
矧	spae
砑	kxea
砘	dxea
砟	vxue
砼	txu
碥	bxoa
碲	dxoe
碹	xxo
磉	sxa
磲	qxo
礅	dxoei
礓	jxei
礞	mxei
礤	cxei
礻	svoo
祓	fve
祧	tvu
禊	xveee
禚	vvou
秕	bve
秭	zvua
稂	lvoa
稃	fvu
稆	lvi
筅	xyue
筘	kyei
筚	byea
筢	pyeie
筲	syio
筻	gyeia
箅	byi
箐	qyeei
箜	kyoo
箢	yyo
箦	zyee
箨	tye
箬	rye
篌	hyuia
篚	fyei
篥	lyeia
篼	dyui
簋	gya
簏	lyoeu
簖	dyou
籀	vyeieu
粞	xzei
糈	xza
糌	zzua
糍	czou
糗	qz
糨	jza
糸	mdoo
絷	vdeie
綮	qdoa
纛	ddee
纟	sdeee
纩	kdoe
绁	xdeii
绂	fdeu
绋	fda
绐	ddao
绗	hduu
绠	gdeia
绡	xdio
缋	hdi
缌	sdiae
缍	dduei
缏	bdui
缑	gdui
缲	qdia
缳	hdia
缵	zdue
罨	kyeu
羝	dkuae
翥	vqei
翮	hqe
耋	djuu
耒	lyooo
耔	zya
耖	cyiu
耜	syia
耠	hyuo
耢	lyeiio
耥	tyio
耧	lyoue
耩	jyeei
耱	myo
耵	dgei
聍	ngoo
聱	rgeeie
胬	nwaoi
胲	hwoe
脎	swuoe
脒	mwou
脞	cwuo
脬	pwuo
脶	lwiaei
腈	jweeie
腙	zwoo
腠	cweee
腧	swuoei
腩	nwei
腽	wwia
膣	vwoo
膦	lwoue
膪	cwoeo
臌	gweie
舁	yceu
舄	xcua
舡	cceie
舣	kcou
舭	bcea
舯	vci
舳	vcia
舴	zcu
艋	mca
艨	mce
艴	fqui
艹	ciiii
芈	mai
芘	piea
芴	wiuau
苈	lieuau
苘	qiiai
苠	miaea
茆	miuau
茇	bieu
茈	ciiei
茌	ciuie
茕	qioa
茚	kiuae
茛	giae
茳	jiooee
茺	cioea
茼	tiia
荇	xiuu
荑	tiea
荜	biea
荦	lkeii
荬	miaoo
荮	viaa
莛	tiueie
莨	lioaee
莰	kieieu
莳	siiae
莶	xiuo
菝	bieie
菡	hiai
菥	xiei
菪	dioo
菰	giai
萁	qieiie
萆	biuiae
萏	diuau
萜	tiiai
葙	xieiu
葳	wieue
葶	tioe
葸	xiiae
蒇	cieui
蒈	kieaua
蒉	kiiaei
蒎	piooe
蒗	lioo
蒹	jiou
蒽	riiaeu
蓁	viee
蓊	wiuo
蓍	sieieu
蓐	rieue
蓠	lioeu
蓣	yiao
蓥	kkeiio
蓰	xiuui
蔌	sieia
蔟	cioeau
蔸	diuia
蔹	liuoe
蕈	xieia
蕞	zii
蕤	rieua
蕹	wioea
蕺	jiiaee
蕻	hieie
薤	xieua
薷	rieo
蘧	qiiea
虍	hraa
蚵	hheiae
蚺	rhiai
蛸	shio
蜞	qheii
蜩	thua
蜱	phui
蜾	ghiae
蝓	yhu
蝤	qhoue
蝥	mhaoa
蝰	kheu
蝻	nhei
蝾	rhei
螋	shuiea
螓	qheee
螗	thoe
螵	phei
蟓	xhuai
蠃	lhoea
衤	kjoo
裒	ptuie
褙	bjie
襞	bjae
襦	rjeo
襻	pjeiu
觇	ceie
觋	xeeiuo
觌	deeia
觏	geee
觖	jxa
觚	gxuu
觜	zxi
觫	sxeia
訾	zfie
謦	qfeie
讠	kfaa
谫	jfou
谮	zfea
谳	kfei
豇	jjeiee
豳	bpe
豸	vguu
貅	xguie
貊	mgeui
貔	pgui
貘	mgei
贳	szei
贶	kzi
赆	jzae
赇	qze
赕	dzo
赙	fzeia
趑	zuo
趱	zuu
趵	baua
趼	jaeeu
跖	vaeui
跬	kaeie
跽	jaaea
踣	baoe
踬	vauu
踺	jaaee
蹁	paoa
蹯	fauo
躐	laaa
躔	caoeu
躜	zau
躞	xaoee
軎	wdi
轵	vdiae
轷	hduou
轹	lduai
轺	kdau
轾	vdea
辁	qdu
辂	lduaoi
辋	wdia
辶	ciooo
迮	ziue
遘	gieei
邗	hgeei
邡	fkai
邴	bgei
邶	bgie
邾	vguee
郄	qguoe
郇	hguai
郐	kguo
郗	xguoe
郜	gguei
郫	pguia
鄹	zge
酎	vce
酏	kcai
酞	tce
酡	tcoo
酤	gceii
酲	ccia
酴	tcuo
酹	lcuo
酾	sceia
醅	pco
醌	kciae
醑	xcai
钅	jkaa
钆	gkaa
钐	skuuu
钬	hkou
钲	vkeiei
钶	kkeia
钷	pkei
钸	bkeuia
钽	tkiaee
铈	skoeia
铊	tkoo
铌	nkae
铕	kkeui
铖	ckeua
铗	jkeo
铘	kkeai
铙	nkea
铞	dkiaei
铟	kkiaeu
铥	dkuei
铪	hkuo
铫	kkuo
铴	tkooe
铷	rkau
铹	lkeiio
铼	lkeou
铽	tkeo
锇	rku
锎	kkoi
锓	qkaee
锔	jkaeua
锖	qkeei
锘	nkeii
锞	kkiaee
锫	pkoe
锬	tkouu
锾	hkuoo
镎	nkuo
镔	bkooa
镗	tkiouo
镘	mkia
镙	lkiaei
镝	dkoe
镟	xkoeau
镡	xkeia
镤	pkii
镥	lkuaia
镦	dkoei
镨	pkou
镩	ckooa
镪	qkaea
镱	kkoeo
镲	ckooau
阚	kgae
阝	fgii
阢	wgeu
阼	zgue
阽	dgie
陔	ggoea
陧	ngi
陬	zgei
陴	pguiae
隈	wgia
隰	xgiae
雩	yxe
霈	pxoo
霪	kxoo
顸	hhee
颃	hho
颟	mheiie
颡	shao
颥	rheoai
飑	bjua
饣	ssaaa
馘	gpeu
驵	zfia
骀	tfao
骐	qfeii
骒	kfiaee
骖	cfao
骝	lfuao
骟	sfoa
骢	cfui
骣	cfae
骺	hnu
髫	tjau
髹	xjui
鬏	jjue
鬲	griae
鲐	tca
鲒	jceie
鲕	rce
鲞	xcou
鲣	jcii
鲥	sciae
鲦	tcua
鲩	hcoo
鲭	vcee
鲳	cciae
鲴	gcia
鲵	ncui
鲺	sca
鲻	zca
鲼	fce
鲽	dceii
鳆	fcue
鳋	scao
鳐	kcuo
鳓	lceii
鳘	mcuea
鳜	gceu
鹇	xtoi
鹋	mteii
鹎	btui
鹛	mtai
鹣	jtou
麈	vfoee
麴	qgua
黉	hjoae
黟	kru
黥	qroei
黪	crao
黹	veoui
黻	feoui
鼢	fpuo
鼯	wpei
鼷	xpui
鼽	qiuaa
齄	vieiu
龠	ylei
啰	lsiai
嗞	zsou
嚱	xsie
嬛	hwia
屌	dwiaei
濛	meeiio
玦	jiaeuo
臜	rwuei
齁	hiuai
